90|2021-06-10|Unveiled Citadel/Shattered Armpit|
89|2021-06-03|Pure Leverage/Abyssal Death|
88|2021-05-27|High Wasteland/Foggy Edge|
87|2021-05-20|Ancient Drift/Raw Land|
86|2021-05-13|Foul End/Bitter Cell|
85|2021-05-06|Jagged Anvil/Eternal Death|
84|2021-04-29|Raging Overlook/Eternal End|
83|2021-04-22|Infested Soil/Fragile Pursuit|
82|2021-04-15|Hunter's Haunt/Green Valley|
81|2021-04-08|Shattered Axe/Bitter Wrath|
80|2021-04-01|Corrosive Slope/Xehn's Grave|
79|2021-03-25|Whalepiper's Let-Down/Dry Caves|
78|2021-03-18|Last Pearl/Jagged Arm|
77|2021-03-11|Gangrenous Impact/Stony Downfall|
76|2021-03-04|Compact Sleep/Raging Carve|
75|2021-02-25|Noble Legacy/Cold Hammer|
74|2021-02-18|Stale Unfortune/Barbarous Avalanche|
73|2021-02-11|Fierce Summit/Fractured Ledge|
72|2021-02-04|Gunner's Breach/Eternal Hulrum|
70|2021-01-21|Blue Inferno/Evil Eclipse|
64|2020-12-10|Carnal Drift/Massive Expanse|
44|2020-07-23|Shining Gate/Bad Cell|
34|2020-05-14|Sudden View/Naked Claw|
31|2020-04-23|Hunter's Outpost/Gutless Burrow|
